mode,overall,alpha,lam,lr,best_auc,test_loss,test_acc,test_auc
Single task,True,1.000000,0,0.001000,0.832029,0.508229,0.755200,0.842461
Multitask,True,1.000000,300,0.001000,0.837107,0.486887,0.766900,0.847736
Multitask,True,1.000000,1000,0.001000,0.839097,0.489165,0.768600,0.849696
Multitask,True,1.000000,3000,0.001000,0.840462,0.496653,0.764000,0.848282
Multitask,True,1.000000,10000,0.001000,0.836332,0.503755,0.757100,0.845544
Multitask,True,1.000000,30000,0.001000,0.837907,0.503164,0.760400,0.840775
Projection,True,1.000000,300,0.001000,0.840010,0.488712,0.766900,0.849607
Projection,True,1.000000,1000,0.001000,0.839111,0.505371,0.764000,0.848421
Projection,True,1.000000,3000,0.001000,0.840747,0.492492,0.766300,0.849840
Projection,True,1.000000,10000,0.001000,0.843420,0.481876,0.770400,0.852784
Projection,True,1.000000,30000,0.001000,0.842657,0.497801,0.757500,0.851132
Projection,False,1.000000,300,0.001000,0.836816,0.494368,0.761500,0.845945
Projection,False,1.000000,1000,0.001000,0.839490,0.484814,0.766400,0.850875
Projection,False,1.000000,3000,0.001000,0.842332,0.490981,0.762800,0.850263
Projection,False,1.000000,10000,0.001000,0.843256,0.494981,0.762300,0.851118
Projection,False,1.000000,30000,0.001000,0.840455,0.498295,0.760900,0.847861
Projection,True,0.010000,300,0.001000,0.832751,0.538847,0.748400,0.839631
Projection,True,0.010000,1000,0.001000,0.835080,0.520291,0.750200,0.846577
Projection,True,0.010000,3000,0.001000,0.841026,0.508879,0.759700,0.847662
Projection,True,0.010000,10000,0.001000,0.839014,0.518522,0.754000,0.843433
Projection,True,0.010000,30000,0.001000,0.839987,0.507374,0.760100,0.846952
Single task,True,1.000000,0,0.001000,0.832328,0.503439,0.755500,0.841110
Multitask,True,1.000000,300,0.001000,0.834764,0.495675,0.762200,0.842883
Multitask,True,1.000000,1000,0.001000,0.837195,0.517015,0.752600,0.847321
Multitask,True,1.000000,3000,0.001000,0.836440,0.518928,0.752100,0.844694
Multitask,True,1.000000,10000,0.001000,0.834036,0.528038,0.747000,0.838611
Multitask,True,1.000000,30000,0.001000,0.828516,0.514109,0.756300,0.838014
Projection,True,1.000000,300,0.001000,0.838312,0.497571,0.764400,0.847555
Projection,True,1.000000,1000,0.001000,0.838838,0.491492,0.762900,0.846164
Projection,True,1.000000,3000,0.001000,0.840524,0.491752,0.764000,0.847794
Projection,True,1.000000,10000,0.001000,0.843059,0.501589,0.759900,0.849093
Projection,True,1.000000,30000,0.001000,0.839500,0.500979,0.759600,0.847143
Projection,False,1.000000,300,0.001000,0.835871,0.510449,0.756600,0.845582
Projection,False,1.000000,1000,0.001000,0.838682,0.514059,0.757500,0.844699
Projection,False,1.000000,3000,0.001000,0.840270,0.496339,0.763300,0.849354
Projection,False,1.000000,10000,0.001000,0.845384,0.501018,0.763700,0.851008
Projection,False,1.000000,30000,0.001000,0.841256,0.498962,0.758900,0.850023
Projection,True,0.010000,300,0.001000,0.835511,0.505636,0.759200,0.843635
Projection,True,0.010000,1000,0.001000,0.840875,0.503499,0.759800,0.848890
Projection,True,0.010000,3000,0.001000,0.840866,0.514094,0.758800,0.850223
Projection,True,0.010000,10000,0.001000,0.840172,0.498600,0.761900,0.846329
Projection,True,0.010000,30000,0.001000,0.836895,0.497008,0.765400,0.844363
Single task,True,1.000000,0,0.001000,0.832242,0.513859,0.754300,0.842270
Multitask,True,1.000000,300,0.001000,0.835647,0.502146,0.760100,0.846141
Multitask,True,1.000000,1000,0.001000,0.836013,0.495204,0.760600,0.842144
Multitask,True,1.000000,3000,0.001000,0.839179,0.490474,0.765700,0.848964
Multitask,True,1.000000,10000,0.001000,0.836557,0.497440,0.763500,0.843102
Multitask,True,1.000000,30000,0.001000,0.831426,0.515813,0.750400,0.835197
Projection,True,1.000000,300,0.001000,0.836844,0.510435,0.752600,0.842849
Projection,True,1.000000,1000,0.001000,0.834994,0.504838,0.760000,0.845497
Projection,True,1.000000,3000,0.001000,0.833284,0.504059,0.756600,0.841438
Projection,True,1.000000,10000,0.001000,0.840272,0.526015,0.754100,0.847838
Projection,True,1.000000,30000,0.001000,0.838385,0.495798,0.763300,0.847971
Projection,False,1.000000,300,0.001000,0.838274,0.499362,0.763600,0.846753
Projection,False,1.000000,1000,0.001000,0.838301,0.502983,0.759300,0.846394
Projection,False,1.000000,3000,0.001000,0.838247,0.486584,0.764500,0.846111
Projection,False,1.000000,10000,0.001000,0.840376,0.495023,0.761300,0.846880
Projection,False,1.000000,30000,0.001000,0.837349,0.485942,0.765600,0.845957
Projection,True,0.010000,300,0.001000,0.834339,0.523545,0.748800,0.843454
Projection,True,0.010000,1000,0.001000,0.838662,0.507416,0.758500,0.847256
Projection,True,0.010000,3000,0.001000,0.837610,0.502044,0.761400,0.846322
Projection,True,0.010000,10000,0.001000,0.835441,0.500778,0.758800,0.845632
Projection,True,0.010000,30000,0.001000,0.834464,0.511543,0.759200,0.841649
Single task,True,1.000000,0,0.001000,0.834403,0.507792,0.753000,0.842837
Multitask,True,1.000000,300,0.001000,0.840011,0.493659,0.767800,0.848461
Multitask,True,1.000000,1000,0.001000,0.839062,0.486023,0.766100,0.846810
Multitask,True,1.000000,3000,0.001000,0.842323,0.515667,0.755500,0.849391
Multitask,True,1.000000,10000,0.001000,0.841770,0.514790,0.752600,0.848845
Multitask,True,1.000000,30000,0.001000,0.839559,0.512321,0.753700,0.845611
Projection,True,1.000000,300,0.001000,0.833999,0.514763,0.752500,0.843383
Projection,True,1.000000,1000,0.001000,0.836781,0.491786,0.763300,0.850026
Projection,True,1.000000,3000,0.001000,0.837436,0.491759,0.762300,0.850016
Projection,True,1.000000,10000,0.001000,0.835953,0.497936,0.761500,0.847801
Projection,True,1.000000,30000,0.001000,0.836439,0.491930,0.759500,0.843223
Projection,False,1.000000,300,0.001000,0.837536,0.495056,0.765400,0.847729
Projection,False,1.000000,1000,0.001000,0.839968,0.497797,0.763000,0.852758
Projection,False,1.000000,3000,0.001000,0.836937,0.503229,0.756900,0.847644
Projection,False,1.000000,10000,0.001000,0.838919,0.486182,0.771200,0.849315
Projection,False,1.000000,30000,0.001000,0.839516,0.497248,0.760500,0.847638
Projection,True,0.010000,300,0.001000,0.840035,0.540962,0.744000,0.849341
Projection,True,0.010000,1000,0.001000,0.842927,0.502541,0.761600,0.850783
Projection,True,0.010000,3000,0.001000,0.838620,0.508602,0.760900,0.850989
Projection,True,0.010000,10000,0.001000,0.841508,0.497237,0.765300,0.853926
Projection,True,0.010000,30000,0.001000,0.838354,0.516499,0.751100,0.845634
Single task,True,1.000000,0,0.001000,0.830533,0.502607,0.760800,0.838106
Multitask,True,1.000000,300,0.001000,0.835932,0.510799,0.756400,0.842549
Multitask,True,1.000000,1000,0.001000,0.841397,0.488922,0.763800,0.850567
Multitask,True,1.000000,3000,0.001000,0.839164,0.494501,0.761800,0.842316
Multitask,True,1.000000,10000,0.001000,0.839283,0.510885,0.756800,0.848340
Multitask,True,1.000000,30000,0.001000,0.831132,0.502455,0.759600,0.839205
Projection,True,1.000000,300,0.001000,0.833610,0.520910,0.749000,0.842386
Projection,True,1.000000,1000,0.001000,0.837558,0.519221,0.755400,0.845019
Projection,True,1.000000,3000,0.001000,0.840918,0.495066,0.759700,0.848414
Projection,True,1.000000,10000,0.001000,0.838833,0.500787,0.758800,0.850444
Projection,True,1.000000,30000,0.001000,0.839229,0.487129,0.762800,0.845298
Projection,False,1.000000,300,0.001000,0.839809,0.498216,0.761000,0.842484
Projection,False,1.000000,1000,0.001000,0.837931,0.511686,0.757000,0.844025
Projection,False,1.000000,3000,0.001000,0.840225,0.487445,0.762100,0.847243
Projection,False,1.000000,10000,0.001000,0.840259,0.497116,0.758700,0.842507
Projection,False,1.000000,30000,0.001000,0.839881,0.492932,0.761400,0.844145
Projection,True,0.010000,300,0.001000,0.837039,0.501390,0.754400,0.844838
Projection,True,0.010000,1000,0.001000,0.835690,0.502744,0.759000,0.844643
Projection,True,0.010000,3000,0.001000,0.838848,0.530694,0.751500,0.845739
Projection,True,0.010000,10000,0.001000,0.839536,0.490670,0.770200,0.849196
Projection,True,0.010000,30000,0.001000,0.835056,0.496880,0.760900,0.844055
Single task,True,1.000000,0,0.001000,0.833662,0.510663,0.755500,0.840919
Multitask,True,1.000000,300,0.001000,0.839110,0.498724,0.761700,0.849025
Multitask,True,1.000000,1000,0.001000,0.840962,0.496236,0.763200,0.851252
Multitask,True,1.000000,3000,0.001000,0.842125,0.508448,0.755600,0.850392
Multitask,True,1.000000,10000,0.001000,0.839980,0.494263,0.766500,0.850416
Multitask,True,1.000000,30000,0.001000,0.836173,0.528550,0.740500,0.839421
Projection,True,1.000000,300,0.001000,0.841401,0.484898,0.765300,0.849608
Projection,True,1.000000,1000,0.001000,0.841477,0.488853,0.764700,0.851176
Projection,True,1.000000,3000,0.001000,0.844927,0.501562,0.760300,0.852529
Projection,True,1.000000,10000,0.001000,0.844173,0.491835,0.761000,0.852757
