lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
300.000000,299.891174,100.000000,0.001000,False,0.838130,0.484636,0.768800,0.849323
1000.000000,999.950012,100.000000,0.001000,False,0.842148,0.498397,0.762200,0.850375
3000.000000,2999.957031,100.000000,0.001000,False,0.838006,0.487234,0.765700,0.848859
10000.000000,9999.983398,100.000000,0.001000,False,0.833807,0.528162,0.748400,0.840438
30000.000000,29999.998047,100.000000,0.001000,False,0.834623,0.509468,0.751600,0.838632
300.000000,298.918701,1000.000000,0.001000,False,0.836791,0.486394,0.762000,0.846811
1000.000000,1000.001282,1000.000000,0.001000,False,0.838441,0.509526,0.755700,0.850658
3000.000000,2999.305908,1000.000000,0.001000,False,0.839022,0.493129,0.765300,0.850092
10000.000000,9999.224609,1000.000000,0.001000,False,0.836518,0.500699,0.761000,0.845937
30000.000000,29998.972656,1000.000000,0.001000,False,0.835029,0.509169,0.756600,0.837497
300.000000,296.892456,10000.000000,0.001000,False,0.838387,0.481258,0.769600,0.849125
1000.000000,994.001343,10000.000000,0.001000,False,0.840610,0.487531,0.766900,0.850648
3000.000000,2995.670654,10000.000000,0.001000,False,0.838456,0.488333,0.768600,0.847062
10000.000000,9993.727539,10000.000000,0.001000,False,0.833572,0.510720,0.752200,0.844186
30000.000000,29988.474609,10000.000000,0.001000,False,0.834701,0.560416,0.737700,0.839012
300.000000,189.259979,100000.000000,0.001000,False,0.838650,0.487121,0.768900,0.849998
1000.000000,962.293945,100000.000000,0.001000,False,0.840878,0.487719,0.767600,0.850117
3000.000000,2916.989990,100000.000000,0.001000,False,0.840020,0.481271,0.768700,0.849651
10000.000000,9918.537109,100000.000000,0.001000,False,0.838655,0.504416,0.760100,0.844599
30000.000000,29879.789062,100000.000000,0.001000,False,0.836914,0.526662,0.752000,0.840059
300.000000,299.860840,100.000000,0.001000,False,0.833832,0.492881,0.761400,0.844401
1000.000000,999.928467,100.000000,0.001000,False,0.839443,0.513057,0.752900,0.843275
3000.000000,2999.922852,100.000000,0.001000,False,0.834746,0.501216,0.756900,0.844934
10000.000000,9999.969727,100.000000,0.001000,False,0.831441,0.505284,0.760000,0.841653
30000.000000,29999.998047,100.000000,0.001000,False,0.832557,0.525777,0.745900,0.835132
300.000000,298.221466,1000.000000,0.001000,False,0.835977,0.515126,0.756300,0.843654
1000.000000,999.302795,1000.000000,0.001000,False,0.838158,0.493075,0.762400,0.844976
3000.000000,2999.240234,1000.000000,0.001000,False,0.835519,0.493160,0.765300,0.845674
10000.000000,9999.109375,1000.000000,0.001000,False,0.837574,0.506409,0.761700,0.844646
30000.000000,29998.982422,1000.000000,0.001000,False,0.830494,0.537791,0.743700,0.835118
300.000000,289.981659,10000.000000,0.001000,False,0.837427,0.491700,0.764700,0.845285
1000.000000,989.901733,10000.000000,0.001000,False,0.836821,0.502362,0.759700,0.846123
3000.000000,2992.563477,10000.000000,0.001000,False,0.835239,0.520721,0.750700,0.844495
10000.000000,9989.933594,10000.000000,0.001000,False,0.837269,0.491508,0.766200,0.846877
30000.000000,29989.414062,10000.000000,0.001000,False,0.831335,0.533359,0.748400,0.836707
300.000000,120.063721,100000.000000,0.001000,False,0.836796,0.493480,0.764800,0.844346
