lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
300.000000,299.878021,100.000000,0.001000,True,0.838927,0.483473,0.768500,0.850444
1000.000000,999.977173,100.000000,0.001000,True,0.840416,0.482590,0.770100,0.851267
3000.000000,2999.953125,100.000000,0.001000,True,0.838423,0.489223,0.764200,0.849401
10000.000000,9999.977539,100.000000,0.001000,True,0.835471,0.503448,0.756800,0.843260
30000.000000,29999.998047,100.000000,0.001000,True,0.833716,0.554386,0.734100,0.839352
300.000000,299.278015,1000.000000,0.001000,True,0.838888,0.486336,0.767300,0.849691
1000.000000,999.632141,1000.000000,0.001000,True,0.842508,0.488112,0.764800,0.851947
3000.000000,2999.272949,1000.000000,0.001000,True,0.838686,0.492946,0.766600,0.850138
10000.000000,9999.063477,1000.000000,0.001000,True,0.840417,0.515709,0.756400,0.846102
30000.000000,29998.814453,1000.000000,0.001000,True,0.839259,0.516219,0.752600,0.842047
300.000000,290.612213,10000.000000,0.001000,True,0.840080,0.492348,0.766400,0.847287
1000.000000,997.057983,10000.000000,0.001000,True,0.839846,0.498274,0.762700,0.849589
3000.000000,2996.543457,10000.000000,0.001000,True,0.839232,0.483201,0.768600,0.849702
10000.000000,9993.441406,10000.000000,0.001000,True,0.837284,0.488943,0.767400,0.845802
30000.000000,29988.421875,10000.000000,0.001000,True,0.833716,0.543523,0.749600,0.837711
300.000000,183.745758,100000.000000,0.001000,True,0.838203,0.488016,0.766900,0.847659
1000.000000,971.153320,100000.000000,0.001000,True,0.840288,0.492294,0.765800,0.851022
3000.000000,2961.475098,100000.000000,0.001000,True,0.837957,0.497021,0.762100,0.848049
10000.000000,9923.995117,100000.000000,0.001000,True,0.837263,0.497647,0.760600,0.844120
30000.000000,29872.730469,100000.000000,0.001000,True,0.836679,0.517243,0.756600,0.840723
300.000000,299.847687,100.000000,0.001000,True,0.834912,0.507179,0.756500,0.841227
1000.000000,999.933350,100.000000,0.001000,True,0.835627,0.509610,0.753100,0.842270
3000.000000,2999.903809,100.000000,0.001000,True,0.834145,0.499644,0.756300,0.843299
10000.000000,9999.977539,100.000000,0.001000,True,0.835436,0.522898,0.750500,0.843396
30000.000000,29999.998047,100.000000,0.001000,True,0.832032,0.505421,0.760500,0.838687
300.000000,298.911530,1000.000000,0.001000,True,0.834312,0.497104,0.762400,0.844742
1000.000000,999.601074,1000.000000,0.001000,True,0.838752,0.493422,0.764300,0.846977
3000.000000,2999.260498,1000.000000,0.001000,True,0.835181,0.504592,0.763500,0.846071
10000.000000,9999.084961,1000.000000,0.001000,True,0.832768,0.524045,0.748000,0.842679
30000.000000,29999.220703,1000.000000,0.001000,True,0.829747,0.563933,0.732300,0.836119
300.000000,283.782684,10000.000000,0.001000,True,0.835860,0.504580,0.757700,0.840758
1000.000000,993.562744,10000.000000,0.001000,True,0.838260,0.502899,0.758700,0.847148
3000.000000,2988.360840,10000.000000,0.001000,True,0.836694,0.498798,0.764200,0.845014
10000.000000,9991.416016,10000.000000,0.001000,True,0.834870,0.503819,0.758000,0.846132
30000.000000,29991.333984,10000.000000,0.001000,True,0.830752,0.504270,0.754800,0.836244
300.000000,66.252861,100000.000000,0.001000,True,0.834333,0.500911,0.757700,0.841625
1000.000000,954.171204,100000.000000,0.001000,True,0.838532,0.495379,0.763300,0.847635
3000.000000,2879.482666,100000.000000,0.001000,True,0.837410,0.502130,0.762000,0.845525
10000.000000,9909.125977,100000.000000,0.001000,True,0.835277,0.534419,0.749100,0.843564
30000.000000,29941.414062,100000.000000,0.001000,True,0.828892,0.519754,0.751200,0.834397
300.000000,299.831299,100.000000,0.001000,True,0.833982,0.502479,0.760200,0.842682
1000.000000,999.944275,100.000000,0.001000,True,0.839276,0.488864,0.765700,0.847389
3000.000000,2999.928711,100.000000,0.001000,True,0.840924,0.512010,0.757600,0.843907
10000.000000,9999.998047,100.000000,0.001000,True,0.835699,0.492052,0.761800,0.846312
30000.000000,30000.000000,100.000000,0.001000,True,0.833242,0.538396,0.740300,0.838086
300.000000,298.710724,1000.000000,0.001000,True,0.833464,0.497484,0.758200,0.843529
1000.000000,998.755188,1000.000000,0.001000,True,0.840460,0.499225,0.758300,0.844872
3000.000000,2999.303955,1000.000000,0.001000,True,0.839199,0.503611,0.760800,0.847927
10000.000000,9999.523438,1000.000000,0.001000,True,0.836952,0.497978,0.764200,0.845507
30000.000000,29999.521484,1000.000000,0.001000,True,0.839132,0.522771,0.746900,0.836139
