situation,mode,overall,alpha,lam,test_loss
Same task,Single task,True,1.000000,0.000000,0.446975
Same task,Single task,True,1.000000,0.000000,0.451082
Same task,Single task,True,1.000000,0.000000,0.445513
Same task,Single task,True,1.000000,0.000000,0.459822
Same task,Single task,True,1.000000,0.000000,0.442985
Same task,Single task,True,1.000000,0.000000,0.444332
Same task,Single task,True,1.000000,0.000000,0.448417
Same task,Single task,True,1.000000,0.000000,0.441544
Same task,Single task,True,1.000000,0.000000,0.454895
Same task,Single task,True,1.000000,0.000000,0.454643
Same task,Single task,True,1.000000,0.000000,0.442299
Same task,Single task,True,1.000000,0.000000,0.442734
Same task,Single task,True,1.000000,0.000000,0.438177
Same task,Single task,True,1.000000,0.000000,0.453886
Same task,Single task,True,1.000000,0.000000,0.443638
Same task,Single task,True,1.000000,0.000000,0.442274
Same task,Single task,True,1.000000,0.000000,0.449820
Same task,Single task,True,1.000000,0.000000,0.446588
Same task,Single task,True,1.000000,0.000000,0.447702
Same task,Single task,True,1.000000,0.000000,0.448561
Same task,Multitask,True,1.000000,0.100000,0.441922
Similar task,Multitask,True,1.000000,0.100000,0.446605
Unrelated task,Multitask,True,1.000000,0.100000,0.449489
Same task,Multitask,True,1.000000,0.300000,0.433341
Similar task,Multitask,True,1.000000,0.300000,0.441939
Unrelated task,Multitask,True,1.000000,0.300000,0.458361
Same task,Multitask,True,1.000000,1.000000,0.425835
Similar task,Multitask,True,1.000000,1.000000,0.441720
Unrelated task,Multitask,True,1.000000,1.000000,0.491342
Same task,Multitask,True,1.000000,3.000000,0.428356
Similar task,Multitask,True,1.000000,3.000000,0.456240
Unrelated task,Multitask,True,1.000000,3.000000,0.521433
Same task,Multitask,True,1.000000,10.000000,0.438806
Similar task,Multitask,True,1.000000,10.000000,0.463093
Unrelated task,Multitask,True,1.000000,10.000000,0.542957
Same task,Multitask,True,1.000000,0.100000,0.435712
Similar task,Multitask,True,1.000000,0.100000,0.438334
Unrelated task,Multitask,True,1.000000,0.100000,0.448351
Same task,Multitask,True,1.000000,0.300000,0.429036
Similar task,Multitask,True,1.000000,0.300000,0.429653
Unrelated task,Multitask,True,1.000000,0.300000,0.454513
Same task,Multitask,True,1.000000,1.000000,0.426252
Similar task,Multitask,True,1.000000,1.000000,0.438660
Unrelated task,Multitask,True,1.000000,1.000000,0.490380
Same task,Multitask,True,1.000000,3.000000,0.429724
Similar task,Multitask,True,1.000000,3.000000,0.452152
Unrelated task,Multitask,True,1.000000,3.000000,0.517956
Same task,Multitask,True,1.000000,10.000000,0.437246
Similar task,Multitask,True,1.000000,10.000000,0.543566
Unrelated task,Multitask,True,1.000000,10.000000,0.542422
Same task,Multitask,True,1.000000,0.100000,0.443050
Similar task,Multitask,True,1.000000,0.100000,0.435581
Unrelated task,Multitask,True,1.000000,0.100000,0.444599
Same task,Multitask,True,1.000000,0.300000,0.435852
Similar task,Multitask,True,1.000000,0.300000,0.439733
Unrelated task,Multitask,True,1.000000,0.300000,0.448176
Same task,Multitask,True,1.000000,1.000000,0.412346
Similar task,Multitask,True,1.000000,1.000000,0.439887
Unrelated task,Multitask,True,1.000000,1.000000,0.489323
Same task,Multitask,True,1.000000,3.000000,0.421043
Similar task,Multitask,True,1.000000,3.000000,0.437381
Unrelated task,Multitask,True,1.000000,3.000000,0.518918
Same task,Multitask,True,1.000000,10.000000,0.430297
Similar task,Multitask,True,1.000000,10.000000,0.461173
Unrelated task,Multitask,True,1.000000,10.000000,0.543048
Same task,Multitask,True,1.000000,0.100000,0.441864
Similar task,Multitask,True,1.000000,0.100000,0.451248
Unrelated task,Multitask,True,1.000000,0.100000,0.452214
Same task,Multitask,True,1.000000,0.300000,0.419810
Similar task,Multitask,True,1.000000,0.300000,0.437628
Unrelated task,Multitask,True,1.000000,0.300000,0.449905
Same task,Multitask,True,1.000000,1.000000,0.409957
Similar task,Multitask,True,1.000000,1.000000,0.424610
Unrelated task,Multitask,True,1.000000,1.000000,0.493721
Same task,Multitask,True,1.000000,3.000000,0.424138
Similar task,Multitask,True,1.000000,3.000000,0.437664
Unrelated task,Multitask,True,1.000000,3.000000,0.521682
Same task,Multitask,True,1.000000,10.000000,0.432920
Similar task,Multitask,True,1.000000,10.000000,0.451504
Unrelated task,Multitask,True,1.000000,10.000000,0.543272
