lam,alpha,mode,run,accuracy
0.01,0.01,Orthogonal,0,0.86015625
0.01,0.01,Projection,0,0.86015625
0.01,0.01,Unweighted,0,0.86640625
0.01,0.01,Weighted,0,0.86171875
0.01,1.0,Multitask,0,0.86171875
0.01,1.0,Orthogonal,0,0.86171875
0.01,1.0,Projection,0,0.86171875
0.01,1.0,Unweighted,0,0.865625
0.01,1.0,Weighted,0,0.8625
0.03,0.01,Orthogonal,0,0.85859375
0.03,0.01,Projection,0,0.85703125
0.03,0.01,Unweighted,0,0.86328125
0.03,0.01,Weighted,0,0.8640625
0.03,1.0,Multitask,0,0.86171875
0.03,1.0,Orthogonal,0,0.859375
0.03,1.0,Projection,0,0.86171875
0.03,1.0,Unweighted,0,0.86171875
0.03,1.0,Weighted,0,0.86328125
0.0,1.0,Single task,0,0.86328125
0.1,0.01,Orthogonal,0,0.86171875
0.1,0.01,Projection,0,0.86484375
0.1,0.01,Unweighted,0,0.8609375
0.1,0.01,Weighted,0,0.8625
0.1,1.0,Multitask,0,0.871875
0.1,1.0,Orthogonal,0,0.86953125
0.1,1.0,Projection,0,0.871875
0.1,1.0,Unweighted,0,0.86796875
0.1,1.0,Weighted,0,0.8671875
0.3,0.01,Orthogonal,0,0.8703125
0.3,0.01,Projection,0,0.8671875
0.3,0.01,Unweighted,0,0.871875
0.3,0.01,Weighted,0,0.859375
0.3,1.0,Multitask,0,0.875
0.3,1.0,Orthogonal,0,0.8796875
0.3,1.0,Projection,0,0.878125
0.3,1.0,Unweighted,0,0.8796875
0.3,1.0,Weighted,0,0.86953125
1.0,0.01,Orthogonal,0,0.86640625
1.0,0.01,Projection,0,0.86640625
1.0,0.01,Unweighted,0,0.86328125
1.0,0.01,Weighted,0,0.86875
1.0,1.0,Multitask,0,0.8625
1.0,1.0,Orthogonal,0,0.875
1.0,1.0,Projection,0,0.85546875
1.0,1.0,Unweighted,0,0.8703125
1.0,1.0,Weighted,0,0.8796875
10.0,0.01,Orthogonal,0,0.859375
10.0,0.01,Projection,0,0.86171875
10.0,0.01,Unweighted,0,0.8640625
10.0,0.01,Weighted,0,0.85625
