run,mode,overall,alpha,lam,loss
0,Single task,False,1,0,0.29653046
0,Multitask,False,1,300,0.64682484
0,Projection,False,0.01,300,0.29914513
0,Projection,False,1,300,0.56855905
0,Weighted cosine,False,0.01,300,0.29494885
0,Weighted cosine,False,1,300,0.30528116
0,Unweighted cosine,False,0.01,300,0.29410583
0,Unweighted cosine,False,1,300,0.31857523
0,Orthogonal,False,0.01,300,0.29987556
0,Orthogonal,False,1,300,0.55232584
0,Multitask,False,1,100,0.44669303
0,Projection,False,0.01,100,0.29279754
0,Projection,False,1,100,0.37004203
0,Weighted cosine,False,0.01,100,0.302181
0,Weighted cosine,False,1,100,0.32804868
0,Unweighted cosine,False,0.01,100,0.29993853
0,Unweighted cosine,False,1,100,0.32583973
0,Orthogonal,False,0.01,100,0.302401
0,Orthogonal,False,1,100,0.3583226
0,Multitask,False,1,30,0.3062368
0,Projection,False,0.01,30,0.31497917
0,Projection,False,1,30,0.31472993
0,Weighted cosine,False,0.01,30,0.317168
0,Weighted cosine,False,1,30,0.30229095
0,Unweighted cosine,False,0.01,30,0.2983991
0,Unweighted cosine,False,1,30,0.30279863
0,Orthogonal,False,0.01,30,0.2976099
0,Orthogonal,False,1,30,0.31437305
0,Multitask,False,1,10,0.30314097
0,Projection,False,0.01,10,0.30109474
0,Projection,False,1,10,0.30343747
0,Weighted cosine,False,0.01,10,0.29866305
0,Weighted cosine,False,1,10,0.37262312
0,Unweighted cosine,False,0.01,10,0.31753018
0,Unweighted cosine,False,1,10,0.35138255
0,Orthogonal,False,0.01,10,0.2910108
0,Orthogonal,False,1,10,0.30666804
0,Multitask,False,1,3,0.3248568
0,Projection,False,0.01,3,0.30153733
0,Projection,False,1,3,0.33819622
0,Weighted cosine,False,0.01,3,0.3417132
0,Weighted cosine,False,1,3,0.29048145
0,Unweighted cosine,False,0.01,3,0.30633277
0,Unweighted cosine,False,1,3,0.30361375
0,Orthogonal,False,0.01,3,0.303464
0,Orthogonal,False,1,3,0.30695614
0,Multitask,False,1,1,0.340683
0,Projection,False,0.01,1,0.30019024
0,Projection,False,1,1,0.2985329
0,Weighted cosine,False,0.01,1,0.29978976
0,Weighted cosine,False,1,1,0.33308625
0,Unweighted cosine,False,0.01,1,0.30564976
0,Unweighted cosine,False,1,1,0.30726862
0,Orthogonal,False,0.01,1,0.3095042
0,Orthogonal,False,1,1,0.36149243
1,Single task,False,1,0,0.30750558
1,Multitask,False,1,300,0.650747
1,Projection,False,0.01,300,0.30327246
1,Projection,False,1,300,0.5611579
1,Weighted cosine,False,0.01,300,0.30810758
1,Weighted cosine,False,1,300,0.34339446
1,Unweighted cosine,False,0.01,300,0.3068781
1,Unweighted cosine,False,1,300,0.31883016
1,Orthogonal,False,0.01,300,0.30777094
1,Orthogonal,False,1,300,0.5818191
1,Multitask,False,1,100,0.4462128
1,Projection,False,0.01,100,0.2967277
1,Projection,False,1,100,0.3639484
1,Weighted cosine,False,0.01,100,0.3023043
1,Weighted cosine,False,1,100,0.32397938
1,Unweighted cosine,False,0.01,100,0.31809348
1,Unweighted cosine,False,1,100,0.3140814
1,Orthogonal,False,0.01,100,0.30096126
1,Orthogonal,False,1,100,0.35401785
1,Multitask,False,1,30,0.30964658
1,Projection,False,0.01,30,0.31403667
1,Projection,False,1,30,0.3134657
1,Weighted cosine,False,0.01,30,0.30914485
1,Weighted cosine,False,1,30,0.3325613
1,Unweighted cosine,False,0.01,30,0.3069707
1,Unweighted cosine,False,1,30,0.29086146
1,Orthogonal,False,0.01,30,0.29612765
1,Orthogonal,False,1,30,0.31136405
1,Multitask,False,1,10,0.3105667
1,Projection,False,0.01,10,0.2948395
1,Projection,False,1,10,0.32606572
1,Weighted cosine,False,0.01,10,0.3088931
1,Weighted cosine,False,1,10,0.32078436
1,Unweighted cosine,False,0.01,10,0.30086118
1,Unweighted cosine,False,1,10,0.2989151
1,Orthogonal,False,0.01,10,0.37701157
1,Orthogonal,False,1,10,0.31462285
1,Multitask,False,1,3,0.29656118
1,Projection,False,0.01,3,0.29871643
1,Projection,False,1,3,0.30429885
1,Weighted cosine,False,0.01,3,0.30949524
1,Weighted cosine,False,1,3,0.30459425
1,Unweighted cosine,False,0.01,3,0.30013147
1,Unweighted cosine,False,1,3,0.2996
1,Orthogonal,False,0.01,3,0.30585086
1,Orthogonal,False,1,3,0.31570348
1,Multitask,False,1,1,0.30141497
1,Projection,False,0.01,1,0.32567212
1,Projection,False,1,1,0.30305317
1,Weighted cosine,False,0.01,1,0.30500388
1,Weighted cosine,False,1,1,0.33308962
1,Unweighted cosine,False,0.01,1,0.31104243
1,Unweighted cosine,False,1,1,0.30635718
1,Orthogonal,False,0.01,1,0.3031217
1,Orthogonal,False,1,1,0.29797524
2,Single task,False,1,0,0.29996824
2,Multitask,False,1,300,0.6555807
2,Projection,False,0.01,300,0.3030968
2,Projection,False,1,300,0.59140813
2,Weighted cosine,False,0.01,300,0.31829876
2,Weighted cosine,False,1,300,0.29815093
2,Unweighted cosine,False,0.01,300,0.3145758
2,Unweighted cosine,False,1,300,0.30676243
2,Orthogonal,False,0.01,300,0.30429077
2,Orthogonal,False,1,300,0.58450556
2,Multitask,False,1,100,0.45486695
2,Projection,False,0.01,100,0.29411784
2,Projection,False,1,100,0.3627811
2,Weighted cosine,False,0.01,100,0.32244816
2,Weighted cosine,False,1,100,0.31067485
2,Unweighted cosine,False,0.01,100,0.30034015
2,Unweighted cosine,False,1,100,0.32477742
2,Orthogonal,False,0.01,100,0.3045556
2,Orthogonal,False,1,100,0.36760798
2,Multitask,False,1,30,0.3128056
2,Projection,False,0.01,30,0.30323538
2,Projection,False,1,30,0.31999335
2,Weighted cosine,False,0.01,30,0.3099964
2,Weighted cosine,False,1,30,0.35413554
2,Unweighted cosine,False,0.01,30,0.3194603
2,Unweighted cosine,False,1,30,0.30188137
2,Orthogonal,False,0.01,30,0.31420383
2,Orthogonal,False,1,30,0.3170159
2,Multitask,False,1,10,0.33906642
2,Projection,False,0.01,10,0.3019187
2,Projection,False,1,10,0.31990528
2,Weighted cosine,False,0.01,10,0.296249
2,Weighted cosine,False,1,10,0.30395845
2,Unweighted cosine,False,0.01,10,0.31233504
2,Unweighted cosine,False,1,10,0.29703575
2,Orthogonal,False,0.01,10,0.31926852
2,Orthogonal,False,1,10,0.3074728
2,Multitask,False,1,3,0.30056217
2,Projection,False,0.01,3,0.35378733
2,Projection,False,1,3,0.28770065
2,Weighted cosine,False,0.01,3,0.31945252
2,Weighted cosine,False,1,3,0.29760772
2,Unweighted cosine,False,0.01,3,0.31907052
2,Unweighted cosine,False,1,3,0.3041213
